Rank,Metropolitan Statistical Area,Population,Household Income
1,San Francisco-Oakland-San Jose-California-CMSA,7239362,63024
2,New York-Northern New Jersey-Long Island-New York-New Jersey-Connecticut-Pennsylvania-CMSA,21199865,59799
3,Washington-Baltimore- District of Columbia-Maryland-Virginia-West Virginia-CMSA,7608070,57291
4,Anchorage-Alaska-MSA,260283,56787
5,Minneapolis-St. Paul- Minnesota-Wisconsin-CMSA,3615902,54304
6,Boston-Worcester-Lawrence-Massachusetts-New Hampshire-Maine-Connecticut-CMSA,5819101,52792
7,Hartford-Connecticut-MSA,1183110,52188
8,Atlanta-Georgia-MSA,4112198,51948
9,Honolulu- Hawaii-MSA,876156,51914
10,Rochester-Minnesota-MSA,124277,51316
11,Denver-Boulder-Greeley-Colorado-CMSA,2581506,51088
12,Chicago-Gary-Kenosha- Illinois-Indiana-WisconsinCMSA,9157540,51046
13,Bloomington-Normal- Illinois MSA CMSA,150433,50795
14,Seattle-Tacoma-Bellevue- Washington-CMSA,3554760,50733
15,New London-Norwich- Connecticut-Rhode Island and Providence Plantations MSA,293566,49283
16,Madison- Wisconsin-MSA,726526,49223
17,Detroit-Ann Arbor-Flint-Michigan-CMSA,5456428,49160
18,Austin-San Marcos-Texas MSA,1249763,48950
19,Raleigh-Durham-Cary-North Carolina-MSA,1187941,48845
20,Fort Collins-Loveland-Colorado MSA,251494,48655
21,Salt Lake City-Ogden-Utah MSA,1333914,48594
22,Salinas-California MSA,401762,48305
23,Naples-Florida MSA,251377,48289
24,Philadelphia-Wilmington-Atlantic City-Pennsylvania-New Jersey-Delaware-Maryland-CMSA,6188463,47528
25,Appleton-Oshkosh-Neenah- Wisconsin-MSA,358365,47438
26,Dallas-Fort Worth- Texas-CMSA,5221801,47418
27,San Diego- California-MSA,2813833,47067
28,Colorado Springs- Colorado MSA,516929,46844
29,Richmond-Petersburg- Virginia-MSA,996512,46800
30,Burlington- Vermont MSA,169391,46732
31,Santa Barbara-Santa Maria-Lompoc- California-MSA,399347,46677
32,Des Moines- Iowa MSA,456022,46651
33,Green Bay- Wisconsin-MSA,226778,46447
34,Sheboygan- Wisconsin-MSA,112646,46237
35,Cedar Rapids- Iowa-MSA,191701,46206
